Date_Only,Location,Temperature,Weather Description,Humidity,Wind Speed
2025-03-20,Cumbria,12.19,broken clouds,55,3.12
2025-03-21,Cumbria,5.45,broken clouds,91,2.06
2025-03-22,Cumbria,6.37,light rain,95,1.63
2025-03-23,Cumbria,7.95,light rain,95,1.31
2025-03-24,Cumbria,4.98,overcast clouds,99,1.57
2025-03-25,Cumbria,4.28,broken clouds,86,1.91
2025-03-20,Corfe Castle,10.54,scattered clouds,83,5.81
2025-03-21,Corfe Castle,9.54,overcast clouds,92,4.53
2025-03-22,Corfe Castle,9.49,light rain,96,5.6
2025-03-23,Corfe Castle,6.91,broken clouds,94,1.81
2025-03-24,Corfe Castle,8.74,broken clouds,86,2.94
2025-03-25,Corfe Castle,7.41,broken clouds,86,1.87
2025-03-20,The Cotswolds,17.39,broken clouds,61,4.94
2025-03-21,The Cotswolds,7.87,broken clouds,94,3.6
2025-03-22,The Cotswolds,10.03,light rain,97,3.95
2025-03-23,The Cotswolds,6.75,broken clouds,96,1.36
2025-03-24,The Cotswolds,8.99,overcast clouds,97,3.14
2025-03-25,The Cotswolds,3.62,broken clouds,88,0.71
2025-03-20,Cambridge,17.96,few clouds,54,3.59
2025-03-21,Cambridge,8.71,scattered clouds,89,3.84
2025-03-22,Cambridge,12.22,light rain,94,8.04
2025-03-23,Cambridge,9.67,overcast clouds,92,1.92
2025-03-24,Cambridge,7.08,light rain,97,3.01
2025-03-25,Cambridge,6.28,broken clouds,72,2.19
2025-03-20,Bristol,17.76,few clouds,61,5.31
2025-03-21,Bristol,8.91,overcast clouds,92,3.92
2025-03-22,Bristol,10.04,light rain,97,4.68
2025-03-23,Bristol,6.76,scattered clouds,97,0.51
2025-03-24,Bristol,9.58,light rain,98,2.43
2025-03-25,Bristol,6.12,broken clouds,90,0.63
2025-03-20,Oxford,17.8,few clouds,59,4.4
2025-03-21,Oxford,8.49,broken clouds,91,3.24
2025-03-22,Oxford,10.99,light rain,98,3.92
2025-03-23,Oxford,7.31,scattered clouds,95,0.8
2025-03-24,Oxford,8.53,light rain,95,3.49
2025-03-25,Oxford,3.47,scattered clouds,91,0.6
2025-03-20,Norwich,17.18,scattered clouds,54,4.03
2025-03-21,Norwich,8.57,clear sky,81,3.2
2025-03-22,Norwich,13.08,light rain,84,7.84
2025-03-23,Norwich,9.87,overcast clouds,90,2.2
2025-03-24,Norwich,8.22,overcast clouds,91,3.01
2025-03-25,Norwich,6.57,overcast clouds,70,3.01
2025-03-20,Stonehenge,17.04,few clouds,57,5.97
2025-03-21,Stonehenge,8.52,overcast clouds,95,4.13
2025-03-22,Stonehenge,10.35,light rain,98,5.47
2025-03-23,Stonehenge,6.57,broken clouds,94,0.76
2025-03-24,Stonehenge,8.77,overcast clouds,97,2.06
2025-03-25,Stonehenge,6.89,overcast clouds,84,1.77
2025-03-20,Watergate Bay,15.15,scattered clouds,69,10.69
2025-03-21,Watergate Bay,11.12,light rain,93,8.21
2025-03-22,Watergate Bay,9.64,light rain,94,5.0
2025-03-23,Watergate Bay,8.51,overcast clouds,92,4.82
2025-03-24,Watergate Bay,9.18,broken clouds,94,5.7
2025-03-25,Watergate Bay,8.49,broken clouds,90,4.22
2025-03-20,Birmingham,16.6,broken clouds,57,3.97
2025-03-21,Birmingham,9.41,broken clouds,85,3.61
2025-03-22,Birmingham,10.75,moderate rain,97,3.59
2025-03-23,Birmingham,8.52,broken clouds,93,1.16
2025-03-24,Birmingham,8.86,overcast clouds,93,2.82
2025-03-25,Birmingham,5.37,scattered clouds,78,0.67
