Location,Date,Temperature,Weather Description,Humidity,Wind Speed,Date_Only
Cumbria,2025-03-22 06:00:00,6.68,moderate rain,97,1.58,2025-03-22
Cumbria,2025-03-22 09:00:00,7.83,light rain,99,1.87,2025-03-22
Cumbria,2025-03-22 12:00:00,7.8,moderate rain,98,6.23,2025-03-22
Cumbria,2025-03-22 15:00:00,9.26,light rain,85,2.94,2025-03-22
Cumbria,2025-03-22 18:00:00,8.22,light rain,89,0.29,2025-03-22
Cumbria,2025-03-22 21:00:00,7.35,light rain,95,2.16,2025-03-22
Cumbria,2025-03-23 00:00:00,6.56,light rain,99,2.45,2025-03-23
Cumbria,2025-03-23 03:00:00,6.52,light rain,99,2.47,2025-03-23
Cumbria,2025-03-23 06:00:00,6.51,light rain,99,2.52,2025-03-23
Cumbria,2025-03-23 09:00:00,4.74,light rain,95,2.43,2025-03-23
Cumbria,2025-03-23 12:00:00,4.71,light rain,93,1.9,2025-03-23
Corfe Castle,2025-03-20 00:00:00,9.0,light rain,91,2.64,2025-03-20
Corfe Castle,2025-03-20 03:00:00,8.44,light rain,94,2.19,2025-03-20
Corfe Castle,2025-03-21 18:00:00,9.83,light rain,95,5.66,2025-03-21
Corfe Castle,2025-03-21 21:00:00,9.83,light rain,96,2.7,2025-03-21
Corfe Castle,2025-03-22 00:00:00,9.39,light rain,97,2.49,2025-03-22
Corfe Castle,2025-03-22 06:00:00,8.47,light rain,96,4.1,2025-03-22
Corfe Castle,2025-03-22 09:00:00,8.84,light rain,97,6.2,2025-03-22
Corfe Castle,2025-03-22 12:00:00,9.65,light rain,96,5.24,2025-03-22
Corfe Castle,2025-03-22 15:00:00,9.81,light rain,92,5.24,2025-03-22
Corfe Castle,2025-03-22 18:00:00,9.47,light rain,92,3.42,2025-03-22
Corfe Castle,2025-03-22 21:00:00,9.0,light rain,95,3.06,2025-03-22
Corfe Castle,2025-03-23 00:00:00,8.86,light rain,96,3.25,2025-03-23
Corfe Castle,2025-03-23 03:00:00,8.64,light rain,98,3.77,2025-03-23
Corfe Castle,2025-03-23 06:00:00,8.47,light rain,97,3.42,2025-03-23
Corfe Castle,2025-03-23 09:00:00,8.2,light rain,94,5.84,2025-03-23
The Cotswolds,2025-03-20 06:00:00,7.45,light rain,94,1.98,2025-03-20
The Cotswolds,2025-03-20 09:00:00,9.35,light rain,92,2.18,2025-03-20
The Cotswolds,2025-03-20 15:00:00,14.52,light rain,75,4.62,2025-03-20
The Cotswolds,2025-03-22 00:00:00,9.3,light rain,99,0.62,2025-03-22
The Cotswolds,2025-03-22 03:00:00,8.87,moderate rain,98,3.72,2025-03-22
The Cotswolds,2025-03-22 06:00:00,7.92,light rain,98,3.72,2025-03-22
The Cotswolds,2025-03-22 12:00:00,8.88,light rain,96,4.15,2025-03-22
The Cotswolds,2025-03-22 15:00:00,9.07,light rain,97,3.24,2025-03-22
The Cotswolds,2025-03-22 18:00:00,9.0,light rain,94,2.39,2025-03-22
The Cotswolds,2025-03-22 21:00:00,8.11,light rain,98,1.92,2025-03-22
The Cotswolds,2025-03-23 00:00:00,8.07,light rain,97,1.6,2025-03-23
The Cotswolds,2025-03-23 03:00:00,8.02,light rain,99,0.85,2025-03-23
The Cotswolds,2025-03-23 06:00:00,6.43,light rain,97,3.87,2025-03-23
The Cotswolds,2025-03-23 09:00:00,6.33,light rain,95,4.23,2025-03-23
The Cotswolds,2025-03-23 12:00:00,8.25,light rain,88,3.61,2025-03-23
Cambridge,2025-03-22 00:00:00,11.8,light rain,92,8.41,2025-03-22
Cambridge,2025-03-22 03:00:00,11.38,light rain,91,7.23,2025-03-22
Cambridge,2025-03-22 06:00:00,10.21,light rain,93,3.63,2025-03-22
Cambridge,2025-03-22 12:00:00,13.19,light rain,77,6.19,2025-03-22
Cambridge,2025-03-22 15:00:00,10.75,light rain,92,4.47,2025-03-22
Cambridge,2025-03-22 18:00:00,10.26,light rain,89,4.47,2025-03-22
Cambridge,2025-03-23 00:00:00,9.35,light rain,91,2.96,2025-03-23
Cambridge,2025-03-23 03:00:00,9.22,light rain,90,1.95,2025-03-23
Cambridge,2025-03-23 12:00:00,13.71,light rain,67,2.12,2025-03-23
Cambridge,2025-03-23 15:00:00,11.21,light rain,88,2.66,2025-03-23
Cambridge,2025-03-23 18:00:00,9.66,light rain,95,4.74,2025-03-23
Cambridge,2025-03-23 21:00:00,8.57,light rain,94,4.04,2025-03-23
Bristol,2025-03-20 00:00:00,8.39,light rain,91,1.66,2025-03-20
Bristol,2025-03-20 03:00:00,8.19,light rain,95,1.86,2025-03-20
Bristol,2025-03-20 09:00:00,9.13,light rain,95,2.11,2025-03-20
Bristol,2025-03-20 15:00:00,15.78,light rain,65,5.3,2025-03-20
Bristol,2025-03-22 00:00:00,10.93,light rain,97,3.58,2025-03-22
Bristol,2025-03-22 03:00:00,10.79,light rain,97,3.84,2025-03-22
Bristol,2025-03-22 06:00:00,9.65,light rain,97,4.05,2025-03-22
Bristol,2025-03-22 09:00:00,11.16,light rain,92,4.35,2025-03-22
Bristol,2025-03-22 15:00:00,12.78,light rain,78,1.87,2025-03-22
Bristol,2025-03-22 18:00:00,9.93,light rain,97,1.67,2025-03-22
Bristol,2025-03-22 21:00:00,9.6,light rain,96,0.73,2025-03-22
Bristol,2025-03-23 00:00:00,9.28,light rain,96,0.01,2025-03-23
Bristol,2025-03-23 03:00:00,9.02,light rain,97,1.18,2025-03-23
Bristol,2025-03-23 12:00:00,11.74,light rain,87,3.01,2025-03-23
Bristol,2025-03-23 15:00:00,12.14,light rain,83,2.92,2025-03-23
Bristol,2025-03-23 18:00:00,9.51,light rain,94,2.74,2025-03-23
Oxford,2025-03-20 06:00:00,8.22,light rain,94,1.68,2025-03-20
Oxford,2025-03-20 15:00:00,15.42,light rain,69,4.78,2025-03-20
Oxford,2025-03-22 00:00:00,12.32,light rain,89,6.2,2025-03-22
Oxford,2025-03-22 03:00:00,11.84,light rain,88,5.62,2025-03-22
Oxford,2025-03-22 06:00:00,10.27,light rain,95,7.1,2025-03-22
Oxford,2025-03-22 09:00:00,10.53,light rain,94,5.78,2025-03-22
Oxford,2025-03-22 15:00:00,10.54,light rain,91,4.58,2025-03-22
Oxford,2025-03-23 12:00:00,13.62,light rain,74,1.82,2025-03-23
Oxford,2025-03-23 15:00:00,13.36,light rain,77,3.23,2025-03-23
Norwich,2025-03-22 21:00:00,10.44,light rain,94,2.4,2025-03-22
Norwich,2025-03-23 12:00:00,14.38,light rain,71,2.88,2025-03-23
Norwich,2025-03-23 15:00:00,13.89,light rain,75,2.31,2025-03-23
Norwich,2025-03-23 18:00:00,9.32,light rain,94,3.71,2025-03-23
Stonehenge,2025-03-20 00:00:00,8.22,light rain,90,1.98,2025-03-20
Stonehenge,2025-03-20 03:00:00,8.22,light rain,97,2.2,2025-03-20
Stonehenge,2025-03-21 21:00:00,11.16,light rain,93,5.81,2025-03-21
Stonehenge,2025-03-22 00:00:00,11.35,moderate rain,97,7.32,2025-03-22
Stonehenge,2025-03-22 03:00:00,10.54,light rain,96,3.99,2025-03-22
Stonehenge,2025-03-22 06:00:00,9.56,moderate rain,98,5.34,2025-03-22
Stonehenge,2025-03-22 09:00:00,9.84,light rain,97,5.15,2025-03-22
Stonehenge,2025-03-22 15:00:00,9.63,light rain,97,3.77,2025-03-22
Stonehenge,2025-03-22 18:00:00,9.44,light rain,98,2.04,2025-03-22
Stonehenge,2025-03-23 12:00:00,12.53,light rain,80,1.36,2025-03-23
Stonehenge,2025-03-23 15:00:00,12.5,light rain,85,3.93,2025-03-23
Stonehenge,2025-03-23 18:00:00,10.89,light rain,86,2.47,2025-03-23
Watergate Bay,2025-03-21 06:00:00,11.04,light rain,88,8.4,2025-03-21
Watergate Bay,2025-03-21 09:00:00,11.23,light rain,88,8.97,2025-03-21
Watergate Bay,2025-03-21 15:00:00,10.88,light rain,91,8.91,2025-03-21
Watergate Bay,2025-03-21 18:00:00,11.02,light rain,93,7.49,2025-03-21
Watergate Bay,2025-03-21 21:00:00,10.42,moderate rain,96,4.77,2025-03-21
Watergate Bay,2025-03-22 00:00:00,10.38,light rain,99,3.29,2025-03-22
Watergate Bay,2025-03-22 12:00:00,11.81,light rain,86,4.24,2025-03-22
Watergate Bay,2025-03-22 15:00:00,11.55,light rain,87,2.1,2025-03-22
Watergate Bay,2025-03-22 18:00:00,10.94,light rain,89,3.74,2025-03-22
Watergate Bay,2025-03-22 21:00:00,10.4,light rain,89,4.97,2025-03-22
Watergate Bay,2025-03-23 00:00:00,9.84,light rain,95,5.87,2025-03-23
Watergate Bay,2025-03-23 09:00:00,8.35,light rain,89,9.36,2025-03-23
Watergate Bay,2025-03-23 15:00:00,8.23,light rain,83,8.0,2025-03-23
Watergate Bay,2025-03-23 18:00:00,7.96,light rain,82,5.03,2025-03-23
Birmingham,2025-03-20 18:00:00,12.37,light rain,81,2.42,2025-03-20
Birmingham,2025-03-22 00:00:00,10.59,light rain,88,4.76,2025-03-22
Birmingham,2025-03-22 03:00:00,10.93,light rain,93,5.38,2025-03-22
Birmingham,2025-03-22 06:00:00,9.84,light rain,91,5.11,2025-03-22
Birmingham,2025-03-22 09:00:00,9.94,light rain,92,5.36,2025-03-22
Birmingham,2025-03-22 12:00:00,11.18,light rain,87,4.04,2025-03-22
Birmingham,2025-03-22 15:00:00,13.31,light rain,72,1.61,2025-03-22
Birmingham,2025-03-22 18:00:00,10.36,light rain,90,3.11,2025-03-22
Birmingham,2025-03-23 09:00:00,8.07,light rain,92,3.35,2025-03-23
Birmingham,2025-03-23 18:00:00,10.27,light rain,81,3.27,2025-03-23
